meg,variance_type,budget_figure,actual_figure,variance,variance_pct,finding_root_cause,resolution_status
ABD Adult,Enrollment,6475,6117,-358,-5.53%,"Enrollment came in 5.53% below budget, likely reflecting natural turnover among the aged/blind/disabled population (Medicare dual-eligibility transitions, mortality) that PHE continuous enrollment protections did not fully offset.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
ABD Adult,PMPM Cost,$764.19,$832.45,+68.26,+8.93%,"PMPM exceeded budget by 8.93%, consistent with pent-up demand for delayed elective and specialty care as providers resumed normal operations following pandemic-era deferrals.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
ABD Dual,Enrollment,17649,18307,658,+3.73%,"Enrollment exceeded budget by 3.73% due to PHE continuous enrollment provisions, which prevented redeterminations for this dual-eligible population throughout SFY22.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
ABD Dual,PMPM Cost,$257.64,$233.05,-24.59,-9.54%,"PMPM came in 9.54% under budget. Medicare-as-primary-payer for this population likely absorbed a larger share of cost growth, holding Medicaid-side PMPM down despite higher caseload.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
General Adult,Enrollment,10049,16159,6110,+60.80%,"Enrollment exceeded budget by 60.80%, the largest variance in the portfolio, driven directly by federal PHE continuous enrollment provisions barring disenrollment of parents/caretakers and transitional Medicaid recipients.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
General Adult,PMPM Cost,$502.44,$362.05,-140.39,-27.94%,"PMPM dropped 27.94% below budget as the retained population included many lower-acuity members who would otherwise have cycled off, diluting average per-member cost.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
New Adult Childless,Enrollment,35802,47805,12003,+33.53%,"Enrollment exceeded budget by 33.53%, consistent with the statewide PHE continuous enrollment effect across expansion adult categories.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
New Adult Childless,PMPM Cost,$470.11,$441.97,-28.14,-5.99%,"PMPM came in 5.99% under budget, suggesting the retained population skewed healthier than the pre-pandemic caseload mix assumed in the As Passed budget.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
New Adult w/Child,Enrollment,22258,25109,2851,+12.81%,"Enrollment exceeded budget by 12.81%, driven by PHE continuous enrollment protections applying to parents with dependent children.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
New Adult w/Child,PMPM Cost,$404.75,$437.20,+32.45,+8.02%,"PMPM exceeded budget by 8.02%, likely from rebound utilization as parents returned to deferred preventive and specialty care for themselves and dependents.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
Vermont Premium Assist.,Enrollment,15937,12471,-3466,-21.75%,"Enrollment fell 21.75% below budget, the only large category to decline meaningfully. This population draws from the QHP marketplace rather than core Medicaid, so it was not protected by continuous enrollment; the drop is consistent with members shifting to employer-sponsored coverage as the labor market recovered.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
Vermont Premium Assist.,PMPM Cost,$29.36,$30.23,+0.87,+2.96%,"PMPM came in 2.96% over budget, a modest unfavorable variance likely tied to the same post-pandemic utilization rebound seen across other categories.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
Vermont Cost Sharing,Enrollment,3236,3041,-195,-6.03%,"Enrollment came in 6.03% under budget, tracking the same marketplace dynamics as Vermont Premium Assistance since this cost-sharing reduction population draws from the same QHP-enrolled base.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
Vermont Cost Sharing,PMPM Cost,$29.12,$26.99,-2.13,-7.31%,"PMPM came in 7.31% under budget, a favorable variance consistent with the enrollment decline in this population.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
ABD Child,Enrollment,1594,1535,-59,-3.70%,"Enrollment came in 3.70% under budget for this high-acuity disabled child population, a modest favorable variance.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
ABD Child,PMPM Cost,$1068.01,$1015.84,-52.17,-4.88%,"PMPM came in 4.88% under budget, likely reflecting continued reliance on telehealth and home-based services that began during the pandemic and persisted into SFY22.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
General Child,Enrollment,59588,61833,2245,+3.77%,"Enrollment exceeded budget by 3.77%, consistent with continuous enrollment provisions applying to children eligible for cash assistance and foster care payments.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
General Child,PMPM Cost,$224.40,$252.33,+27.93,+12.45%,"PMPM exceeded budget by 12.45%, consistent with a statewide rebound in pediatric care utilization, including catch-up well-child visits and vaccinations deferred earlier in the pandemic.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
Underinsured Child,Enrollment,530,616,86,+16.23%,"Enrollment exceeded budget by 16.23%. This is a small population, so percentage swings are naturally amplified by a modest absolute change. Likely reflects economic disruption during the pandemic recovery period increasing reliance on wraparound coverage for children with other primary insurance.",ESCALATED — Enrollment variance exceeds threshold. GP 9/15/22
CHIP,Enrollment,4374,4707,333,+7.61%,Enrollment exceeded budget by 7.61% as continuous enrollment provisions applied to CHIP families as well as core Medicaid categories.,ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
CHIP,PMPM Cost,$165.45,$175.64,+10.19,+6.16%,"PMPM exceeded budget by 6.16%, consistent with the same pediatric utilization rebound seen in General Child.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
Pharmacy Only,PMPM Cost,$47.50,$55.40,+7.90,+16.63%,"PMPM exceeded budget by 16.63%, the largest percentage cost overrun in the portfolio. Consistent with statewide pharmacy spend trends in SFY22 driven by specialty drug cost growth and rising prescription volume as members resumed regular prescribing patterns post-pandemic.",ESCALATED — PMPM variance exceeds threshold. GP 9/15/22
Choices for Care,Enrollment,4596,4448,-148,-3.22%,"Enrollment came in 3.22% under budget for this high-cost waiver program. Note: figure reflects Choices for Care - Acute only; Traditional long-term care is budgeted/administered separately and reports $0 expenditure under DVHA-only scope, so it is excluded here to avoid mismatched comparison.",ESCALATED — Enrollment variance exceeds threshold. PHE-driven. GP 9/15/22
Choices for Care,PMPM Cost,$727.16,$710.49,-16.67,-2.29%,"PMPM came in 2.29% under budget, a modest favorable variance for the Acute sub-category specifically.",ESCALATED — PMPM variance exceeds threshold. Utilization-driven. GP 9/15/22
